"Number","lable","perimeter","sapwood_depth","bark","radius_05","radius_1","radius_15","radius_2","radius_25","radius_3","radius_13","dbh_measured","area_measured","bark_area","hardwood_area","sapwood_area","d_05","d_1","d_15","d_2","d_25","d_3","dbh_scan"
"1",2190,146.2,3.507e-32,8.2e-33,0.1886607,0.1956984,0.1312851,0.1247277,0.1146909,0.1388109,0.195026,0.465369053600702,0.170092389091057,0,0,0.170092389091057,0.3773214,0.3913968,0.2625702,0.2494554,0.2293818,0.2776218,0.390052
"1_2",2190,146.2,3.507e-32,8.2e-33,0.1878185,0.1936441,0.2852951,0.1237868,0.13330789,0.1486111,0.1993626,0.465369053600702,0.170092389091057,0,0,0.170092389091057,0.375637,0.3872882,0.5705902,0.2475736,0.26661578,0.2972222,0.3987252
"2",2175,55.8,2.915e-32,5.31e-33,0.08609967,0.0889674,0.08220798,0.06569414,0.05937572,0.04235695,0.08216076,0.177616916490555,0.0247775598504324,0,0,0.0247775598504324,0.17219934,0.1779348,0.16441596,0.13138828,0.11875144,0.0847139,0.16432152
"3",2173,63,2.346e-32,7.46e-33,0.08582705,0.08094602,0.08143306,0.07308623,0.07284149,0.06916216,0.09099313,0.200535228295788,0.0315842984565866,0,0,0.0315842984565866,0.1716541,0.16189204,0.16286612,0.14617246,0.14568298,0.13832432,0.18198626
"4",2172,85,2.742e-32,4.77e-33,0.1339191,0.1253732,0.1234872,0.1276005,0.1087632,0.1064931,0.1272287,0.270563403256222,0.0574947231919472,0,0,0.0574947231919472,0.2678382,0.2507464,0.2469744,0.255201,0.2175264,0.2129862,0.2544574
"5",2171,97.8,2.744e-32,8.58e-33,0.09757643,0.105287,0.09016741,0.09210548,0.08239619,0.07657374,0.1036616,0.311307068687747,0.0761145782941542,0,0,0.0761145782941542,0.19515286,0.210574,0.18033482,0.18421096,0.16479238,0.15314748,0.2073232
"6",2214,87.8,2.791e-32,8.52e-33,0.1500926,0.1414112,0.15116,0.1334731,0.1632766,0.2201146,0.1421926,0.279476080069368,0.0613449995752263,0,0,0.0613449995752263,0.3001852,0.2828224,0.30232,0.2669462,0.3265532,0.4402292,0.2843852
"7",NA,74.6,2.089e-32,8.16e-33,0.09943304,0.09141216,0.1248726,0.08454113,0.09423741,0.07818264,0.1124719,0.237459175093108,0.0442861361548646,0,0,0.0442861361548646,0.19886608,0.18282432,0.2497452,0.16908226,0.18847482,0.15636528,0.2249438
"8",2204,111.4,2.984e-32,6.55e-33,0.1579809,0.1423417,0.1373019,0.1262904,0.1285395,0.1241622,0.1399718,0.354597213208743,0.0987553238786349,0,0,0.0987553238786349,0.3159618,0.2846834,0.2746038,0.2525808,0.257079,0.2483244,0.2799436
"9",2207,64.6,2.777e-32,8.47e-33,0.1049713,0.1016424,0.09949607,0.1006334,0.09249117,0.07999262,0.09173403,0.205628186474729,0.0332089521156687,0,0,0.0332089521156687,0.2099426,0.2032848,0.19899214,0.2012668,0.18498234,0.15998524,0.18346806
"10",2206,75.2,2.91e-32,7.34e-33,0.1127173,0.1084368,0.102802,0.09672336,0.09382422,0.0913294,0.1051297,0.239369034410211,0.0450013784691196,0,0,0.0450013784691196,0.2254346,0.2168736,0.205604,0.19344672,0.18764844,0.1826588,0.2102594
"11",NA,65.8,2.822e-32,8.95e-33,0.1004231,0.09936678,0.1224439,0.09669401,0.0884732,0.09103578,0.09339708,0.209447905108934,0.0344541803904197,0,0,0.0344541803904197,0.2008462,0.19873356,0.2448878,0.19338802,0.1769464,0.18207156,0.18679416
"12",NA,79.6,2.726e-32,5.3e-33,0.1189189,0.1152631,0.1137336,0.07526122,0.06320003,0.06915133,0.112976,0.253374669402297,0.0504215592110572,0,0,0.0504215592110572,0.2378378,0.2305262,0.2274672,0.15052244,0.12640006,0.13830266,0.225952
"12_2",NA,79.6,2.726e-32,5.3e-33,0.1166972,0.113763,0.1153408,0.085469,0.07617927,0.08503034,0.1124711,0.253374669402297,0.0504215592110572,0,0,0.0504215592110572,0.2333944,0.227526,0.2306816,0.170938,0.15235854,0.17006068,0.2249422
"13",1440,127.4,3.128e-32,1.195e-32,0.2030713,0.1937319,0.1816932,0.1759727,0.1813369,0.1764274,0.1903476,0.405526794998149,0.129160284206911,0,0,0.129160284206911,0.4061426,0.3874638,0.3633864,0.3519454,0.3626738,0.3528548,0.3806952
"14",2215,76.2,2.336e-32,5.69e-33,0.1066631,0.1056618,0.1011727,0.0962967,0.08903927,0.1066198,0.1018233,0.242552133272048,0.0462061813883252,0,0,0.0462061813883252,0.2133262,0.2113236,0.2023454,0.1925934,0.17807854,0.2132396,0.2036466
"15",NA,84,2.41e-32,6.42e-33,0.1345318,0.1081114,0.09754489,0.09754489,0.09464435,0.1035943,0.1042947,0.267380304394384,0.0561498639228207,0,0,0.0561498639228207,0.2690636,0.2162228,0.19508978,0.19508978,0.1892887,0.2071886,0.2085894
"16",NA,63.2,3.084e-32,5.72e-33,0.1337678,0.1061211,0.09575015,0.09765911,0.09745299,0.1037254,0.1034783,0.201171848068156,0.0317851519947686,0,0,0.0317851519947686,0.2675356,0.2122422,0.1915003,0.19531822,0.19490598,0.2074508,0.2069566
"17",2212,64.4,2.604e-32,7.09e-33,0.1001927,0.07510698,0.07125059,0.08472747,0.09533079,0.123005,0.08643988,0.204991566702361,0.0330036422390802,0,0,0.0330036422390802,0.2003854,0.15021396,0.14250118,0.16945494,0.19066158,0.24601,0.17287976
"18",2218,100.6,2.637e-32,6.77e-33,0.1407011,0.1418956,0.153253,0.1249543,0.130478,0.1904919,0.1411484,0.320219745500893,0.0805352659934747,0,0,0.0805352659934747,0.2814022,0.2837912,0.306506,0.2499086,0.260956,0.3809838,0.2822968
"19",NA,79.2,2.102e-32,4.1e-33,0.1208074,0.1132212,0.09791775,0.08716877,0.08017154,0.08449762,0.1009875,0.252101429857562,0.0499160831117973,0,0,0.0499160831117973,0.2416148,0.2264424,0.1958355,0.17433754,0.16034308,0.16899524,0.201975
