dbh_measured_10,sapwood_area_10,dbh_measured_20,sapwood_area_20,dbh_measured_30,sapwood_area_30
0.465369054,0.100936471,0.316400027,0.053948637,0.465369054,0.100936471
0.465369054,0.100936471,0.401707076,0.072229689,0.465369054,0.100936471
0.177616916,0.006405095,0.221543681,0.022313233,0.177616916,0.006405095
0.200535228,0.010583241,0.427808487,0.083116458,0.200535228,0.010583241
0.270563403,0.02940551,0.354597213,0.048127704,0.270563403,0.02940551
0.311307069,0.03680308,0.234276076,0.022044824,0.311307069,0.03680308
0.27947608,0.026276298,0.326585943,0.037628716,0.27947608,0.026276298
0.237459175,0.019387859,0.209447905,0.015454528,0.237459175,0.019387859
0.354597213,0.055215144,0.285842278,0.037061738,0.354597213,0.055215144
0.205628186,0.008677645,0.369876088,0.064834954,0.205628186,0.008677645
,,0.332315521,0.049756638,0.239369034,0.016419712
,,0.338045099,0.048580381,0.209447905,0.008699322
,,0.412529612,0.079889229,0.253374669,0.023703817
,,0.351414114,0.051054475,0.253374669,0.023703817
,,0.353960593,0.055794547,0.405526795,0.065180703
,,0.416985951,0.057620403,0.242552133,0.022487212
,,0.219633821,0.018473598,0.267380304,0.02817605
,,0.206264806,0.014130054,0.201171848,0.009366138
,,0.210084525,0.012354104,0.204991567,0.010708086
,,0.502293,0.110329892,0.320219746,0.043980079
,,,,0.25210143,0.028809043
,,,,0.30876059,0.037491503
,,,,0.316400027,0.053948637
,,,,0.401707076,0.072229689
,,,,0.221543681,0.022313233
,,,,0.427808487,0.083116458
,,,,0.354597213,0.048127704
,,,,0.234276076,0.022044824
,,,,0.326585943,0.037628716
,,,,0.209447905,0.015454528
,,,,0.285842278,0.037061738
,,,,0.369876088,0.064834954
