Number,lable,perimeter,sapwood_depth,bark,radius_05,radius_1,radius_15,radius_2,radius_25,radius_3,radius_13,dbh_measured,area_measured,bark_area,hardwood_area,sapwood_area,dbh_05,dbh_1,dbh_15,dbh_2,dbh_25,dbh_3,dbh_scan
4,2172,85,0.02742,0.00477,0.1339191,0.1253732,0.1234872,0.1276005,0.1087632,0.1064931,0.1272287,0.270563403256222,0.0574947231919472,0.00398301965651212,0.0241061939445616,0.0294055095908735,0.2678382,0.2507464,0.2469744,0.255201,0.2175264,0.2129862,0.2544574
5,2171,97.8,0.02744,0.00858,0.09757643,0.105287,0.09016741,0.09210548,0.08239619,0.07657374,0.1036616,0.311307068687747,0.0761145782941542,0.00815996725857628,0.0311515307708894,0.0368030802646885,0.19515286,0.210574,0.18033482,0.18421096,0.16479238,0.15314748,0.2073232
12,NA,79.6,0.02726,0.0053,0.1189189,0.1152631,0.1137336,0.07526122,0.06320003,0.06915133,0.112976,0.253374669402297,0.0504215592110572,0.00413055266236066,0.0225871892385632,0.0237038173101333,0.2378378,0.2305262,0.2274672,0.15052244,0.12640006,0.13830266,0.225952
16,NA,63.2,0.03084,0.00572,0.1337678,0.1061211,0.09575015,0.09765911,0.09745299,0.1037254,0.1034783,0.201171848068156,0.0317851519947686,0.00351225211492279,0.0189067617016987,0.00936613817814709,0.2675356,0.2122422,0.1915003,0.19531822,0.19490598,0.2074508,0.2069566
21,1410,99.4,0.01696,0.00471,0.1338765,0.1330981,0.1298293,0.1169732,0.10763521,0.1052387,0.1317652,0.316400026866688,0.078625406676372,0.0046120465944135,0.0200647229615527,0.0539486371204058,0.267753,0.2661962,0.2596586,0.2339464,0.21527042,0.2104774,0.2635304
24,2807,134.4,0.03083,0.0091,0.1575522,0.1518455,0.1476146,0.1335228,0.1261168,0.1316966,0.1483172,0.427808487031015,0.143743651642421,0.0119702447123562,0.0486569492793124,0.0831164576507523,0.3151044,0.303691,0.2952292,0.2670456,0.2522336,0.2633932,0.2966344
27,NA,102.6,0.03932,0.00603,0.18245,0.1531851,0.137972,0.1304602,0.11402,0.1144675,0.11408,0.326585943224569,0.083769294437102,0.00607254886368208,0.0400680298627925,0.0376287157106274,0.3649,0.3063702,0.275944,0.2609204,0.22804,0.228935,0.22816
32,106,106.2,0.02623,0.00811,0.1560867,0.1314909,0.1330302,0.1331817,0.133287,0.1182749,0.1315522,0.338045099127186,0.0897509738182678,0.00840619085382883,0.0327644021021884,0.0485803808622505,0.3121734,0.2629818,0.2660604,0.2663634,0.266574,0.2365498,0.2631044
36,122,131,0.05068,0.00919,0.1937627,0.1655909,0.1590826,0.1616292,0.1361599,0.1207406,0.1625013,0.416985950900766,0.136562898920001,0.0117735733366892,0.0671689221995569,0.0576204033837547,0.3875254,0.3311818,0.3181652,0.3232584,0.2723198,0.2414812,0.3250026
40,1344,157.8,0.03801,0.01138,0.2652526,0.245756,0.242479,0.2447893,0.2424901,0.2399601,0.2436823,0.502293000398022,0.19815458865702,0.0175507899283525,0.0702739065312681,0.110329892197399,0.5305052,0.491512,0.484958,0.4895786,0.4849802,0.4799202,0.4873646
